crop,term,coef,se,t,n
cartofi,gdd,-0.00013480845708830965,0.0004624074267337476,-0.2915360984587556,541
cartofi,kdd,-0.016364483999098175,0.004229627135790012,-3.869013384330297,541
cartofi,prec_season,0.0047670738601516705,0.0026795218773950904,1.7790762972930094,541
cartofi,prec_season_sq,-5.92343364802123e-06,4.5892901808033004e-06,-1.29070802120959,541
floarea_soarelui,gdd,0.0001865250690195013,0.00013427905620182619,1.3890853443231497,665
floarea_soarelui,kdd,-0.01641363536339438,0.0012239457644596518,-13.410427030351856,665
floarea_soarelui,prec_season,0.002617938018721383,0.000823374547895847,3.179522643020221,665
floarea_soarelui,prec_season_sq,-2.223600189471879e-06,1.4173917260638119e-06,-1.5687972129250112,665
griu,gdd,-0.0005000703746382053,0.0001648519101905405,-3.0334521089880595,665
griu,kdd,-0.006267511393696599,0.0015026155451787493,-4.171067851524871,665
griu,prec_season,0.000542917255858691,0.0010108416819588659,0.5370942508094793,665
griu,prec_season_sq,1.3488589509533714e-06,1.7401055692459428e-06,0.7751592632037181,665
legume,gdd,-4.3603917889613135e-05,0.00036670833909320516,-0.11890626211947271,633
legume,kdd,-0.009558851569506192,0.0033525744376891745,-2.851197414752948,633
legume,prec_season,0.0008389225623510833,0.002220872758701662,0.3777445416735732,633
legume,prec_season_sq,-1.6383244266081486e-06,3.813578588120647e-06,-0.429602901513962,633
orz,gdd,-0.0005921466416370725,0.00018271139879241812,-3.240885054521538,665
orz,kdd,-0.005559525835035874,0.0016654037419979808,-3.3382450722526444,665
orz,prec_season,-0.00018528524267936793,0.0011203527909073813,-0.16538115866994374,665
orz,prec_season_sq,2.281427532098362e-06,1.928622617935834e-06,1.1829310259464487,665
porumb,gdd,0.0005274416823210211,0.0003028563218789047,1.7415574456190994,664
porumb,kdd,-0.03997177081087502,0.0027628230339544085,-14.467727509012299,664
porumb,prec_season,0.00043872734413766626,0.001857851380113668,0.2361477074182456,664
porumb,prec_season_sq,4.829405049930769e-06,3.1983265551985977e-06,1.5099787237425761,664
sfecla,gdd,-0.0004149854722328215,0.0002876080362724361,-1.4428855243798802,254
sfecla,kdd,-0.012271226501523728,0.0030998266836079315,-3.9586814857794166,254
sfecla,prec_season,0.0028221109898759708,0.0019318825456440748,1.4608087827280931,254
sfecla,prec_season_sq,-2.0313771887482854e-06,3.145746073960266e-06,-0.6457537070660407,254
soia,gdd,0.0005340307059642464,0.0004687508462618803,1.1392634492779041,413
soia,kdd,-0.03294386126655639,0.00469495103860822,-7.016870036694213,413
soia,prec_season,0.0039023697812688852,0.0027115728496828707,1.4391535826615476,413
soia,prec_season_sq,-7.289814044861647e-07,4.551245758208602e-06,-0.16017183936318488,413
