crop,year,out_of_range,knn_dist,err_baseline,err_gbm,centred_base,centred_gbm,bias_base,bias_gbm
cartofi,2007,0.0,0.2710427792746842,0.3164231607913712,0.9015667700216032,0.5251990076305253,0.503396043347764,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.22649857290663866,0.4539897733090479,0.7565105885220156,1.2956119417309444,2.161473401891383,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3209163973748871,1.7638489761492986,2.0644629622401522,-0.9222268077274021,-0.659500148870785,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3343895061451188,0.2867324978991821,0.4028227583062396,0.5548896705227144,1.0021400550631276,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3664493595220361,0.2932305836799092,0.03239160434556876,0.5483915847419873,1.437354417714936,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3714178197695126,0.8323885365739876,1.9697398402029294,0.00923363184790893,-0.5647770268335621,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.31843853880799183,0.5904343382604837,0.900723227232882,0.2511878301614128,0.5042395861364852,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3057153729708263,3.98823111609548,3.6571463577101633,-3.1466089476735837,-2.252183544340796,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.31366849233833094,0.3215599325630629,0.8639724774876938,1.1631821009849594,2.268935290857061,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.31676151451348517,0.5682511308632767,0.5605819319340957,1.4098732992851732,1.965544745303463,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.28416338268781,0.11503918067613572,0.8492707405838122,0.7265829877457608,0.555692072785555,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.30565777556959717,0.408670016704058,1.1391464080709253,0.4329521517178385,0.26581640529844197,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.6061695565787325,2.635875269493555,3.671776314834748,-1.7942531010716585,-2.2668135014653807,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3656495425108902,0.1337773836910907,0.14977455311157417,0.9753995521129872,1.255188260257793,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.7032957234847891,2.040686126534018,2.367632081396975,-1.1990639581121214,-0.9626692680276077,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.704359444521923,0.485543930208578,0.7452736295081368,0.3560782382133185,0.6596891838612304,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3683163075701722,0.6643565804799971,0.8530343472681641,1.5059787489018936,0.5519284661012032,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.35044601680874377,2.2854654431285786,2.324401022891273,-1.443843274706682,-0.9194382095219056,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.37113514859402363,0.8331874827273982,1.6969706241057518,0.008434685694498345,-0.2920078107363846,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.38634859280672595,1.2718025102703363,2.1205240283711175,-0.4301803418484398,-0.7155612150017503,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3532575440820344,0.8953545517459247,2.37259217033424,-0.05373238332402819,-0.9676293569648728,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3624075103960923,0.672069429706907,1.1445640471016363,0.16955273871498955,0.26039876626773095,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.3247097350580528,0.42508792859457767,0.02979083411760186,1.2667100970164742,1.434753647486969,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.25328846281269773,0.5142262758012048,0.9216486363110103,0.3273958926206917,0.4833141770583569,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.8880230764225032,0.862269069411477,1.7733167735450168,-0.02064690098958044,-0.3683539601756496,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.7280833711712023,2.4107702343119337,3.641439374055671,-1.5691480658900372,-2.2364765606863037,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.9611051920551563,0.21585592416375876,1.5195975946223754,0.6257662442581378,-0.11463478125300819,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.6956331492952129,2.121216416132535,2.800437131941373,-1.2795942477106388,-1.395474318572006,0.8416221684218965,1.4049628133693672
cartofi,2007,0.13103540733568142,0.8169809756490707,1.6592328878636975,2.9644642456432893,-0.817610719441801,-1.559501432273922,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.22504765125476425,0.8129655951348806,1.0375303206963156,0.028656573287015874,0.36743249267305167,0.8416221684218965,1.4049628133693672
cartofi,2007,0.0,0.776158322000846,0.015348595825844136,1.478676424308433,0.8569707642477407,-0.0737136109390657,0.8416221684218965,1.4049628133693672
cartofi,2007,0.3055839500688724,1.0296746920421118,1.202761161362893,1.733525079810914,-0.3611389929409965,-0.32856226644154685,0.8416221684218965,1.4049628133693672
cartofi,2008,0.0,0.2638317525513891,2.65676070746622,1.5909173081610068,-2.606303237276067,-2.059939965556819,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.18545351065634025,1.0242069488930992,1.4093618395783283,-0.9737494787029459,-1.8783844969741406,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.021681710732298853,0.4820258169312985,0.1528900770081707,0.371912349373706,-0.10243260681801747,-0.0971103080221063,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.46040502457861693,0.03617310225896997,0.1400406842784334,0.0866305724491232,-0.6090633416742457,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.35177801161162947,0.2736955649008457,0.3093939806315822,-0.22323809471069245,-0.1596286767642301,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.3053018271823028,0.07985127204714271,0.5009065096423813,-0.029393801856989477,0.03188385224656898,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.2280354259156189,1.875082986434819,1.6828654684732696,1.9255404566249723,1.2138428110774573,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.2926073983111547,0.4719627038558718,0.4192475334024435,0.522420174046025,-0.04977512399336881,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.186699842474571,0.3241398872569117,0.008439013554754293,-0.27368241706675844,-0.460583643841058,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.3439796207068951,0.10719340390760923,0.41502945382690903,-0.056735933717456,-0.05399320356890325,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.44828608576920403,0.32529085443930317,0.26476293217125857,-0.27483338424914994,-0.7337855895670709,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.26124423430694915,0.13204233795280818,0.19250678137696697,-0.08158486776265494,-0.2765158760188453,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.32650302356102257,0.2948706961648706,0.14682117977210174,-0.24441322597471737,-0.615843837167914,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.23074990267202394,0.2591679981419599,0.5638660942264035,-0.20871052795180667,0.09484343683059127,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.291210487915504,0.7477030516782097,1.359646150407392,0.798160521868363,0.8906234930115797,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.25375924320570087,0.762067863967804,0.5344706159637322,-0.7116103937776508,0.06544795856791996,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.25751183809432004,0.2717971807633033,0.9743353939129342,-0.22133971057315005,0.5053127365171219,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.1568345645119537,0.3520640648699622,0.7355502980352089,0.40252153506011545,0.2665276406393966,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.2591046721675434,0.2015891583498366,1.3007719983338957,-0.15113168815968336,0.8317493409380834,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.31017799474262864,0.2820781097466911,1.3591695588740058,0.33253557993684435,0.8901469014781935,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.23451242026748703,0.8698649792202908,0.7907144833717417,0.920322449410444,0.3216918259759294,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.2880276015398011,1.750514840411475,1.8268084079822482,1.8009723106016282,1.357785750586436,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.21021158308746454,2.404276866451882,1.6958172044241973,-2.353819396261729,-2.1648398618200093,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.37730860533818217,0.36363709450983084,0.1903276400139191,-0.3131796243196776,-0.2786950173818932,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.3617099005086588,0.8143908173698629,1.2746006164135304,0.8648482875600161,0.8055779590177181,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.25025093563338585,0.10584731504431799,0.23553744617320005,0.15630478523447122,-0.23348521122261223,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.18423565463807784,0.19199922150418747,0.9025506036567807,0.2424566916943407,0.43352794626096847,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.21770746433894037,0.3339465974736009,0.01638924291332211,-0.28348912728344766,-0.45263341448249017,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.24107336170738333,0.062236649676583156,1.677975240058832,0.11269411986673639,1.2089525826630196,0.05045747019015323,-0.4690226573958123
cartofi,2008,0.0,0.23985199468742918,0.8937825619193793,1.6753859896405556,0.9442400321095326,1.2063633322447433,0.05045747019015323,-0.4690226573958123
cartofi,2009,0.0,0.4106079589476579,1.0535311730027828,1.2175870357224579,-1.1293593378604707,-1.420036670881884,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.35091055070310706,2.0490258937206667,1.0280706428685695,1.9731977288629787,0.8256210077091435,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.2961028858530053,0.027056933274638872,0.11147969437741345,-0.04877123158304908,-0.09096994078201259,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.28382693396177905,0.6685025183311031,0.2831684690740306,0.5926743534734151,0.08071883391460455,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.6130692255323034,0.5891943332217124,0.37519261117743996,-0.6650224980794004,-0.577642246336866,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.2197205428250944,0.05031512812714478,0.21076594936381277,-0.12614329298483273,0.008316314204386721,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.3593059992556328,0.2605168456268552,0.3266673732596388,0.18468868076916722,-0.5291170084190648,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.4497602006671536,0.2613973708898647,0.470584523167203,-0.33722553574755265,-0.673034158326629,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.3976240706189538,0.6262974752090642,0.14377589457025808,-0.7021256400667522,-0.3462255297296841,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.40382072560964916,0.32362668735233857,0.670000394538592,0.24779852249465062,0.4675507593791659,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.2699763474528488,1.5795613910043125,0.9840688492942298,-1.6553895558620004,-1.1865184844536558,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.456969913867327,1.764291536442491,1.6039894161102408,1.688463371584803,1.4015397809508148,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.8601325626631269,0.18043164522493527,0.18762520026182772,-0.2562598100826232,-0.39007483542125376,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.4799660482639247,0.15729854997125425,0.16693702993225745,-0.2331267148289422,-0.3693866650916835,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.2914563462253109,0.9264382828573599,1.1675991124292953,0.8506101179996719,0.9651494772698692,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.5214075420788807,0.1283408419041745,0.9999181066037308,0.052512677046486544,0.7974684714443048,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.5114981127451385,0.013551613911574556,0.7782278349960552,-0.062276550946113396,0.5757781998366291,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.2848714447402772,0.7422913617056182,0.6620981111947399,0.6664631968479302,0.4596484760353139,-0.07582816485768795,-0.20244963515942604
cartofi,2009,0.0,0.4272511024619153,0.2783706771029042,1.1393964320672145,0.20254251224521624,0.9369467969077885,-0.07582816485768795,-0.20244963515942604
