crop,year,model,n_train_years,rmse
legume,2019,gradient boosting,12,0.999
legume,2020,raion mean + trend,13,0.7093
legume,2020,baseline FE,13,0.7127
legume,2020,gradient boosting,13,1.181
legume,2021,raion mean + trend,14,0.8575
legume,2021,baseline FE,14,0.8872
legume,2021,gradient boosting,14,0.8516
legume,2022,raion mean + trend,15,0.793
legume,2022,baseline FE,15,0.787
legume,2022,gradient boosting,15,0.8409
legume,2023,raion mean + trend,16,0.6029
legume,2023,baseline FE,16,0.6153
legume,2023,gradient boosting,16,0.6482
legume,2024,raion mean + trend,17,0.774
legume,2024,baseline FE,17,0.7556
legume,2024,gradient boosting,17,0.7722
legume,2025,raion mean + trend,18,0.7792
legume,2025,baseline FE,18,0.7828
legume,2025,gradient boosting,18,0.7359
orz,2014,raion mean + trend,7,0.2919
orz,2014,baseline FE,7,0.1964
orz,2014,gradient boosting,7,0.1873
orz,2015,raion mean + trend,8,0.2167
orz,2015,baseline FE,8,0.3305
orz,2015,gradient boosting,8,0.3086
orz,2016,raion mean + trend,9,0.3482
orz,2016,baseline FE,9,0.31
orz,2016,gradient boosting,9,0.4928
orz,2017,raion mean + trend,10,0.1673
orz,2017,baseline FE,10,0.1886
orz,2017,gradient boosting,10,0.3361
orz,2018,raion mean + trend,11,0.3178
orz,2018,baseline FE,11,0.2536
orz,2018,gradient boosting,11,0.3317
orz,2019,raion mean + trend,12,0.2312
orz,2019,baseline FE,12,0.2571
orz,2019,gradient boosting,12,0.311
orz,2020,raion mean + trend,13,0.9541
orz,2020,baseline FE,13,1.0555
orz,2020,gradient boosting,13,0.7726
orz,2021,raion mean + trend,14,0.3677
orz,2021,baseline FE,14,0.1954
orz,2021,gradient boosting,14,0.5635
orz,2022,raion mean + trend,15,0.3243
orz,2022,baseline FE,15,0.2449
orz,2022,gradient boosting,15,0.265
orz,2023,raion mean + trend,16,0.3712
orz,2023,baseline FE,16,0.5033
orz,2023,gradient boosting,16,0.4184
orz,2024,raion mean + trend,17,0.2441
orz,2024,baseline FE,17,0.3845
orz,2024,gradient boosting,17,0.3274
orz,2025,raion mean + trend,18,0.253
orz,2025,baseline FE,18,0.2834
orz,2025,gradient boosting,18,0.481
porumb,2014,raion mean + trend,7,0.3071
porumb,2014,baseline FE,7,0.7355
porumb,2014,gradient boosting,7,0.4172
porumb,2015,raion mean + trend,8,0.892
porumb,2015,baseline FE,8,0.2124
porumb,2015,gradient boosting,8,0.478
porumb,2016,raion mean + trend,9,0.3425
porumb,2016,baseline FE,9,0.4906
porumb,2016,gradient boosting,9,0.283
porumb,2017,raion mean + trend,10,0.2784
porumb,2017,baseline FE,10,0.2777
porumb,2017,gradient boosting,10,0.6724
porumb,2018,raion mean + trend,11,0.1821
porumb,2018,baseline FE,11,0.1921
porumb,2018,gradient boosting,11,0.8754
porumb,2019,raion mean + trend,12,0.3067
porumb,2019,baseline FE,12,0.3615
porumb,2019,gradient boosting,12,0.9594
porumb,2020,raion mean + trend,13,1.8831
porumb,2020,baseline FE,13,1.9139
porumb,2020,gradient boosting,13,1.1857
porumb,2021,raion mean + trend,14,0.6059
porumb,2021,baseline FE,14,0.3156
porumb,2021,gradient boosting,14,1.4218
porumb,2022,raion mean + trend,15,1.023
porumb,2022,baseline FE,15,0.8019
porumb,2022,gradient boosting,15,0.7665
porumb,2023,raion mean + trend,16,0.4607
porumb,2023,baseline FE,16,0.3648
porumb,2023,gradient boosting,16,0.3332
porumb,2024,raion mean + trend,17,1.0407
porumb,2024,baseline FE,17,0.4304
porumb,2024,gradient boosting,17,0.4938
porumb,2025,raion mean + trend,18,0.4684
porumb,2025,baseline FE,18,0.4034
porumb,2025,gradient boosting,18,0.5445
sfecla,2014,raion mean + trend,7,0.4344
sfecla,2014,baseline FE,7,0.2935
sfecla,2014,gradient boosting,7,0.3726
sfecla,2015,raion mean + trend,8,0.5493
sfecla,2015,baseline FE,8,0.4718
sfecla,2015,gradient boosting,8,0.9225
sfecla,2016,raion mean + trend,9,0.2553
sfecla,2016,baseline FE,9,0.243
sfecla,2016,gradient boosting,9,0.4058
sfecla,2017,raion mean + trend,10,0.2472
sfecla,2017,baseline FE,10,0.2277
sfecla,2017,gradient boosting,10,0.3625
sfecla,2018,raion mean + trend,11,0.3551
sfecla,2018,baseline FE,11,0.2969
sfecla,2018,gradient boosting,11,0.4239
sfecla,2019,raion mean + trend,12,0.2575
sfecla,2019,baseline FE,12,0.2695
sfecla,2019,gradient boosting,12,0.3673
sfecla,2020,raion mean + trend,13,0.4386
