crop,year,actual,baseline,boosting
porumb,2023,3.536904234621901,3.4022990119402428,3.4146307455634455
porumb,2024,2.9264131398788806,2.99059282236773,3.26905326824834
porumb,2025,3.538235919620812,3.3900873240931553,3.1510287216232507
sfecla,2007,5.030309696613001,5.0253504743210415,5.458788442706199
sfecla,2008,5.670213869179422,5.627376435531494,5.514222488835512
sfecla,2009,5.19892179349222,5.623982735954537,5.33450032647252
sfecla,2010,5.665416113035845,5.8320780812202395,5.855823732930767
sfecla,2011,5.483426935047683,5.740218899702371,5.742005113854439
sfecla,2012,5.18077356866653,4.988357641789936,4.761869181017482
sfecla,2013,5.787239917834818,5.806706519073897,5.977763624575126
sfecla,2014,6.141452451884951,5.928257426039365,5.922951244425262
sfecla,2015,5.511159814292251,5.0628435074342075,5.047242454356868
sfecla,2016,5.777754393041989,5.742013253211149,5.6340737170771975
sfecla,2017,5.848228242978455,5.65538228071348,5.978919570914228
sfecla,2018,5.7872613745335615,5.661171378142423,5.5071043786807605
sfecla,2019,5.988405444891821,5.867815802551049,5.9363090406283785
sfecla,2020,5.6921077762483625,5.9059041126041505,5.821600461067778
sfecla,2021,6.184860651505827,6.1316823651215815,5.8546904604514785
sfecla,2022,5.9706684717311616,5.914929987946749,6.0258596406648035
sfecla,2023,5.980170407607478,5.87561794427343,5.948585340861404
sfecla,2024,5.229068105900828,5.81928643461452,5.778630631638517
sfecla,2025,5.9490600092317525,6.041964312423546,5.916119701779211
soia,2007,0.26677060570217426,1.6499531407258754,1.551856425530339
soia,2008,2.2597222603196063,2.502348013078296,2.3382363950216685
soia,2009,1.877277900131447,1.5925201013060524,1.978923095516984
soia,2010,2.4924171393055916,2.0670726628092724,2.401157563463844
soia,2011,2.3589579988790774,2.120769688746833,2.545508550662269
soia,2012,1.4153207163404187,0.9151293701163183,1.4138258058790933
soia,2013,2.573029763531213,2.4956164224544444,2.5148856139697338
soia,2014,2.5976636512576445,2.448656795771132,2.39794702291507
soia,2015,1.7415925920641349,1.2744115940275684,1.403278767003205
soia,2016,2.3169448002999267,2.2775915221746366,2.427401385197063
soia,2017,2.1819244106831315,2.0680125693339697,2.1265649140556393
soia,2018,2.693738881336483,2.538194253652814,2.63178527658643
soia,2019,2.628915861522163,2.4800136505984436,2.014519833783899
soia,2020,1.9232518772331864,2.655022976284371,2.1850450405002957
soia,2021,2.9368246905893263,2.7795501268845952,2.525797200272031
soia,2022,1.8232151066944142,2.4914854231276653,2.377317411709519
soia,2023,2.5103734919823197,2.267360688959605,1.8529636732090384
soia,2024,2.006034482364887,1.843939338362486,1.757509293023491
soia,2025,2.247808185404316,2.534704818754051,2.4765465727509732
