crop,model,kdd,delta_log_yield
cartofi,unconstrained,0.41963470577753503,0.0
cartofi,unconstrained,1.5838890220090867,0.016956751802483405
cartofi,unconstrained,2.748143338240638,-0.15310326253598658
cartofi,unconstrained,3.9123976544721892,-0.19434658620194686
cartofi,unconstrained,5.076651970703741,-0.0812650129926702
cartofi,unconstrained,6.240906286935293,-0.08532641994631586
cartofi,unconstrained,7.405160603166844,-0.08674235041383761
cartofi,unconstrained,8.569414919398396,-0.08586391588207386
cartofi,unconstrained,9.733669235629947,-0.08586391588207386
cartofi,unconstrained,10.897923551861497,-0.08586391588207386
cartofi,unconstrained,12.06217786809305,-0.08586391588207386
cartofi,unconstrained,13.2264321843246,-0.09424164962458904
cartofi,unconstrained,14.390686500556152,-0.14477468600109536
cartofi,unconstrained,15.554940816787704,-0.16221185285861267
cartofi,unconstrained,16.71919513301926,-0.16221185285861267
cartofi,unconstrained,17.883449449250808,-0.16221185285861267
cartofi,unconstrained,19.04770376548236,-0.16221185285861267
cartofi,unconstrained,20.211958081713913,-0.1578734412150296
cartofi,unconstrained,21.376212397945462,-0.1578734412150296
cartofi,unconstrained,22.540466714177015,-0.14929180632014868
cartofi,unconstrained,23.704721030408567,-0.14929180632014868
cartofi,unconstrained,24.868975346640116,-0.14929180632014868
cartofi,unconstrained,26.03322966287167,-0.14929180632014868
cartofi,unconstrained,27.19748397910322,-0.14929180632014868
cartofi,unconstrained,28.36173829533477,-0.13316264129185998
cartofi,unconstrained,29.525992611566323,-0.13316264129185998
cartofi,unconstrained,30.690246927797876,-0.13316264129185998
cartofi,unconstrained,31.85450124402943,-0.13316264129185998
cartofi,unconstrained,33.01875556026098,-0.13316264129185998
cartofi,unconstrained,34.18300987649253,-0.13316264129185998
cartofi,unconstrained,35.347264192724076,-0.13316264129185998
cartofi,unconstrained,36.51151850895563,-0.13316264129185998
cartofi,unconstrained,37.67577282518718,-0.13316264129185998
cartofi,unconstrained,38.84002714141873,-0.13316264129185998
cartofi,unconstrained,40.004281457650286,-0.13316264129185998
cartofi,unconstrained,41.168535773881835,-0.13316264129185998
cartofi,unconstrained,42.332790090113384,-0.13316264129185998
cartofi,unconstrained,43.49704440634494,-0.13316264129185998
cartofi,unconstrained,44.66129872257649,-0.13316264129185998
cartofi,unconstrained,45.82555303880804,-0.13316264129185998
cartofi,monotonic,0.41963470577753503,0.0
cartofi,monotonic,1.5838890220090867,0.0
cartofi,monotonic,2.748143338240638,-0.12286523858862929
cartofi,monotonic,3.9123976544721892,-0.12508531022023003
cartofi,monotonic,5.076651970703741,-0.12616081807325916
cartofi,monotonic,6.240906286935293,-0.12616081807325916
cartofi,monotonic,7.405160603166844,-0.12616081807325916
cartofi,monotonic,8.569414919398396,-0.12616081807325916
cartofi,monotonic,9.733669235629947,-0.12616081807325916
cartofi,monotonic,10.897923551861497,-0.12616081807325916
cartofi,monotonic,12.06217786809305,-0.12616081807325916
cartofi,monotonic,13.2264321843246,-0.13527744375319592
cartofi,monotonic,14.390686500556152,-0.18079585743919677
cartofi,monotonic,15.554940816787704,-0.18872707734781627
cartofi,monotonic,16.71919513301926,-0.18872707734781627
cartofi,monotonic,17.883449449250808,-0.18872707734781627
cartofi,monotonic,19.04770376548236,-0.18872707734781627
cartofi,monotonic,20.211958081713913,-0.18872707734781627
cartofi,monotonic,21.376212397945462,-0.18872707734781627
cartofi,monotonic,22.540466714177015,-0.18872707734781627
cartofi,monotonic,23.704721030408567,-0.18872707734781627
cartofi,monotonic,24.868975346640116,-0.18872707734781627
cartofi,monotonic,26.03322966287167,-0.18872707734781627
cartofi,monotonic,27.19748397910322,-0.1934318963745496
cartofi,monotonic,28.36173829533477,-0.1934318963745496
cartofi,monotonic,29.525992611566323,-0.1934318963745496
cartofi,monotonic,30.690246927797876,-0.1934318963745496
cartofi,monotonic,31.85450124402943,-0.1934318963745496
cartofi,monotonic,33.01875556026098,-0.1934318963745496
cartofi,monotonic,34.18300987649253,-0.1934318963745496
cartofi,monotonic,35.347264192724076,-0.1934318963745496
cartofi,monotonic,36.51151850895563,-0.1934318963745496
cartofi,monotonic,37.67577282518718,-0.1934318963745496
cartofi,monotonic,38.84002714141873,-0.20150640068879608
