crop,scheme,model,rmse
sfecla,leave-one-raion-out,"ridge, all features",0.3198
sfecla,leave-one-raion-out,splines + ridge,0.3218
sfecla,leave-one-raion-out,random forest,0.3148
sfecla,leave-one-raion-out,extra trees,0.3166
sfecla,leave-one-raion-out,gradient boosting,0.3449
sfecla,leave-one-raion-out,k nearest neighbours,0.3133
sfecla,leave-one-raion-out,neural net,1.3719
sfecla,leave-one-region-out,raion mean + trend,0.5978
sfecla,leave-one-region-out,baseline FE,0.5115
sfecla,leave-one-region-out,"ridge, all features",0.456
sfecla,leave-one-region-out,splines + ridge,0.4562
sfecla,leave-one-region-out,random forest,0.4456
sfecla,leave-one-region-out,extra trees,0.4363
sfecla,leave-one-region-out,gradient boosting,0.457
sfecla,leave-one-region-out,k nearest neighbours,0.5197
sfecla,leave-one-region-out,neural net,1.469
soia,leave-one-raion-out,raion mean + trend,0.8879
soia,leave-one-raion-out,baseline FE,0.7053
soia,leave-one-raion-out,"ridge, all features",0.6659
soia,leave-one-raion-out,splines + ridge,0.6681
soia,leave-one-raion-out,random forest,0.6124
soia,leave-one-raion-out,extra trees,0.6057
soia,leave-one-raion-out,gradient boosting,0.6791
soia,leave-one-raion-out,k nearest neighbours,0.6569
soia,leave-one-raion-out,neural net,0.9342
soia,leave-one-region-out,raion mean + trend,1.0419
soia,leave-one-region-out,baseline FE,0.7537
soia,leave-one-region-out,"ridge, all features",0.7919
soia,leave-one-region-out,splines + ridge,0.8237
soia,leave-one-region-out,random forest,0.7839
soia,leave-one-region-out,extra trees,0.7668
soia,leave-one-region-out,gradient boosting,0.8193
soia,leave-one-region-out,k nearest neighbours,0.8284
soia,leave-one-region-out,neural net,0.9657
